X	X^2	Y1	Y2	Y
5.35	28.62	30.2275	-7.22	23.01
5.40	29.16	30.2400	-7.56	22.68
5.45	29.70	30.2475	-7.90	22.35
5.50	30.25	30.2500	-8.25	22.00
5.55	30.80	30.2475	-8.60	21.65
5.60	31.36	30.2400	-8.96	21.28
5.65	31.92	30.2275	-9.32	20.91
5.70	32.49	30.2100	-9.69	20.52
5.75	33.06	30.1875	-10.06	20.13
5.80	33.64	30.1600	-10.44	19.72
5.85	34.22	30.1275	-10.82	19.31
5.90	34.81	30.0900	-11.21	18.88
5.95	35.40	30.0475	-11.60	18.45
6.00	36.00	30.0000	-12.00	18.00
6.05	36.60	29.9475	-12.40	17.55
6.10	37.21	29.8900	-12.81	17.08
6.15	37.82	29.8275	-13.22	16.61
6.20	38.44	29.7600	-13.64	16.12
6.25	39.06	29.6875	-14.06	15.63
6.30	39.69	29.6100	-14.49	15.12
6.35	40.32	29.5275	-14.92	14.61
6.40	40.96	29.4400	-15.36	14.08
6.45	41.60	29.3475	-15.80	13.55
6.50	42.25	29.2500	-16.25	13.00
6.55	42.90	29.1475	-16.70	12.45
6.60	43.56	29.0400	-17.16	11.88
6.65	44.22	28.9275	-17.62	11.31
6.70	44.89	28.8100	-18.09	10.72
6.75	45.56	28.6875	-18.56	10.13
6.80	46.24	28.5600	-19.04	9.52
6.85	46.92	28.4275	-19.52	8.91
6.90	47.61	28.2900	-20.01	8.28
6.95	48.30	28.1475	-20.50	7.65
7.00	49.00	28.0000	-21.00	7.00
7.05	49.70	27.8475	-21.50	6.35
7.10	50.41	27.6900	-22.01	5.68
7.15	51.12	27.5275	-22.52	5.01
7.20	51.84	27.3600	-23.04	4.32
7.25	52.56	27.1875	-23.56	3.63
7.30	53.29	27.0100	-24.09	2.92
7.35	54.02	26.8275	-24.62	2.21
7.40	54.76	26.6400	-25.16	1.48
7.45	55.50	26.4475	-25.70	0.74
7.50	56.25	26.2500	-26.25	0.00
7.55	57.00	26.0475	-26.80	-0.75
7.60	57.76	25.8400	-27.36	-1.52
7.65	58.52	25.6275	-27.92	-2.30
7.70	59.29	25.4100	-28.49	-3.08
7.75	60.06	25.1875	0.00	25.19
7.80	60.84	24.9600	0.00	24.96
7.85	61.62	24.7275	0.00	24.73
7.90	62.41	24.4900	0.00	24.49
7.95	63.20	24.2475	0.00	24.25
8.00	64.00	24.0000	0.00	24.00
8.05	64.80	23.7475	0.00	23.75
8.10	65.61	23.4900	0.00	23.49
8.15	66.42	23.2275	0.00	23.23
8.20	67.24	22.9600	0.00	22.96
8.25	68.06	22.6875	0.00	22.69
8.30	68.89	22.4100	0.00	22.41
8.35	69.72	22.1275	0.00	22.13
8.40	70.56	21.8400	0.00	21.84
8.45	71.40	21.5475	0.00	21.55
8.50	72.25	21.2500	0.00	21.25
8.55	73.10	20.9475	0.00	20.95
8.60	73.96	20.6400	0.00	20.64
8.65	74.82	20.3275	0.00	20.33
8.70	75.69	20.0100	0.00	20.01
8.75	76.56	19.6875	0.00	19.69
8.80	77.44	19.3600	0.00	19.36
8.85	78.32	19.0275	0.00	19.03
8.90	79.21	18.6900	0.00	18.69
8.95	80.10	18.3475	0.00	18.35
9.00	81.00	18.0000	0.00	18.00
9.05	81.90	17.6475	0.00	17.65
9.10	82.81	17.2900	0.00	17.29
9.15	83.72	16.9275	0.00	16.93
9.20	84.64	16.5600	0.00	16.56
9.25	85.56	16.1875	0.00	16.19
9.30	86.49	15.8100	0.00	15.81
9.35	87.42	15.4275	0.00	15.43
9.40	88.36	15.0400	0.00	15.04
9.45	89.30	14.6475	0.00	14.65
9.50	90.25	14.2500	0.00	14.25
9.55	91.20	13.8475	0.00	13.85
9.60	92.16	13.4400	0.00	13.44
9.65	93.12	13.0275	0.00	13.03
9.70	94.09	12.6100	0.00	12.61
9.75	95.06	12.1875	0.00	12.19
9.80	96.04	11.7600	0.00	11.76
9.85	97.02	11.3275	0.00	11.33
9.90	98.01	10.8900	0.00	10.89
9.95	99.00	10.4475	0.00	10.45
10.00	100.00	10.0000	0.00	10.00
10.05	101.00	9.5475	0.00	9.55
10.10	102.01	9.0900	0.00	9.09
10.15	103.02	8.6275	0.00	8.63
10.20	104.04	8.1600	0.00	8.16
10.25	105.06	7.6875	0.00	7.69
10.30	106.09	7.2100	0.00	7.21
10.35	107.12	6.7275	0.00	6.73
10.40	108.16	6.2400	0.00	6.24
10.45	109.20	5.7475	0.00	5.75
10.50	110.25	5.2500	0.00	5.25
10.55	111.30	4.7475	0.00	4.75
10.60	112.36	4.2400	0.00	4.24
10.65	113.42	3.7275	0.00	3.73
10.70	114.49	3.2100	0.00	3.21
10.75	115.56	2.6875	0.00	2.69
10.80	116.64	2.1600	0.00	2.16
10.85	117.72	1.6275	0.00	1.63
10.90	118.81	1.0900	0.00	1.09
10.95	119.90	0.5475	0.00	0.55
11.00	121.00	0.0000	0.00	0.00
11.05	122.10	-0.5525	0.00	-0.55
11.10	123.21	-1.1100	0.00	-1.11
11.15	124.32	-1.6725	0.00	-1.67
11.20	125.44	-2.2400	0.00	-2.24
11.25	126.56	-2.8125	0.00	-2.81
11.30	127.69	-3.3900	0.00	-3.39
11.35	128.82	-3.9725	0.00	-3.97
11.40	129.96	-4.5600	0.00	-4.56
11.45	131.10	-5.1525	0.00	-5.15
11.50	132.25	-5.7500	0.00	-5.75
11.55	133.40	-6.3525	0.00	-6.35
11.60	134.56	-6.9600	0.00	-6.96
11.65	135.72	-7.5725	0.00	-7.57
11.70	136.89	-8.1900	0.00	-8.19
11.75	138.06	-8.8125	0.00	-8.81
11.80	139.24	-9.4400	0.00	-9.44
11.85	140.42	-10.0725	0.00	-10.07
11.90	141.61	-10.7100	0.00	-10.71
11.95	142.80	-11.3525	0.00	-11.35
12.00	144.00	-12.0000	0.00	-12.00
12.05	145.20	-12.6525	0.00	-12.65
12.10	146.41	-13.3100	0.00	-13.31
12.15	147.62	-13.9725	0.00	-13.97
12.20	148.84	-14.6400	0.00	-14.64
12.25	150.06	-15.3125	0.00	-15.31
12.30	151.29	-15.9900	0.00	-15.99
12.35	152.52	-16.6725	0.00	-16.67
12.40	153.76	-17.3600	0.00	-17.36
12.45	155.00	-18.0525	0.00	-18.05
12.50	156.25	-18.7500	0.00	-18.75
12.55	157.50	-19.4525	0.00	-19.45
12.60	158.76	-20.1600	0.00	-20.16
12.65	160.02	-20.8725	0.00	-20.87
12.70	161.29	-21.5900	0.00	-21.59
12.75	162.56	-22.3125	0.00	-22.31
12.80	163.84	-23.0400	0.00	-23.04
12.85	165.12	-23.7725	0.00	-23.77
12.90	166.41	-24.5100	0.00	-24.51
12.95	167.70	-25.2525	0.00	-25.25
13.00	169.00	-26.0000	0.00	-26.00
13.05	170.30	-26.7525	0.00	-26.75
13.10	171.61	-27.5100	0.00	-27.51
13.15	172.92	-28.2725	0.00	-28.27
13.20	174.24	-29.0400	0.00	-29.04
13.25	175.56	-29.8125	0.00	-29.81
13.30	176.89	-30.5900	0.00	-30.59
13.35	178.22	-31.3725	0.00	-31.37
13.40	179.56	-32.1600	0.00	-32.16
13.45	180.90	-32.9525	0.00	-32.95
13.50	182.25	-33.7500	0.00	-33.75
13.55	183.60	-34.5525	0.00	-34.55
13.60	184.96	-35.3600	0.00	-35.36
13.65	186.32	-36.1725	0.00	-36.17
13.70	187.69	-36.9900	0.00	-36.99
13.75	189.06	-37.8125	0.00	-37.81
13.80	190.44	-38.6400	0.00	-38.64
13.85	191.82	-39.4725	0.00	-39.47
13.90	193.21	-40.3100	0.00	-40.31
13.95	194.60	-41.1525	0.00	-41.15
14.00	196.00	-42.0000	0.00	-42.00
14.05	197.40	-42.8525	0.00	-42.85
14.10	198.81	-43.7100	0.00	-43.71
14.15	200.22	-44.5725	0.00	-44.57
14.20	201.64	-45.4400	0.00	-45.44
14.25	203.06	-46.3125	0.00	-46.31
14.30	204.49	-47.1900	0.00	-47.19
14.35	205.92	-48.0725	0.00	-48.07
14.40	207.36	-48.9600	0.00	-48.96
14.45	208.80	-49.8525	0.00	-49.85
14.50	210.25	-50.7500	0.00	-50.75
14.55	211.70	-51.6525	0.00	-51.65
14.60	213.16	-52.5600	0.00	-52.56
14.65	214.62	-53.4725	0.00	-53.47
14.70	216.09	-54.3900	0.00	-54.39
14.75	217.56	-55.3125	0.00	-55.31
14.80	219.04	-56.2400	0.00	-56.24
14.85	220.52	-57.1725	0.00	-57.17
14.90	222.01	-58.1100	0.00	-58.11
14.95	223.50	-59.0525	0.00	-59.05
